Exp,Week,Strain,Sex,Irradiation.Dose,Input,CD45,CD33.15,CD19,CD3,Platelets
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,104.5,NA,NA,85.70414
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,63.42,NA,NA,82.20176
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,99.61,NA,NA,81.28286
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,185.2,NA,NA,62.45188
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,49.33,NA,NA,88.07331
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,121.62,NA,NA,123.3026
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,113,NA,NA,111.5595
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,104.57,NA,NA,173.1862
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,104.08,NA,NA,71.42836
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,94.93,NA,NA,84.55038
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,59.72,NA,NA,136.2589
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,33.1,NA,NA,19.46
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,68.99,NA,NA,71.34
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,62.44,NA,NA,39.97
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,266.3,NA,NA,49.02
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,69.18,NA,NA,72.61
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,,NA,NA,105.05
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,,NA,NA,99.64
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,,NA,NA,76.55
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,78.01,NA,NA,107.96
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,90.02,NA,NA,151.14
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,,NA,NA,136.75
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,68.91,NA,NA,212.29
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,90.24,NA,NA,87.56
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,146.62,NA,NA,103.64
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,149.77,NA,NA,167.02
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,76.42,NA,NA,
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,,NA,NA,114.42
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,,NA,NA,135.59
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,,NA,NA,72.1
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,,NA,NA,119.79
7_12_day,3,NSG-3GS,NA,315 cGy,fresh,NA,,NA,NA,58.1
